"short","same_netdebt","r","health_inflation","cht_increment","labour_prod","oldshare","years","pop_scenario"
"NS",-0.012323410358428,0.04,0.005,0,0.015,0,50,"Projection scenario SA: slow-aging"
"PE",-0.0115570896641544,0.04,0.005,0,0.015,0,50,"Projection scenario SA: slow-aging"
"NL",0.0447411156938514,0.04,0.005,0,0.015,0,50,"Projection scenario SA: slow-aging"
"PROV",-0.00358757875120911,0.04,0.005,0,0.015,0,50,"Projection scenario SA: slow-aging"
"FED",-0.0342867721174499,0.04,0.005,0,0.015,0,50,"Projection scenario SA: slow-aging"
"BC",-0.0190757845516603,0.04,0.005,0,0.015,0,75,"Projection scenario SA: slow-aging"
"AB",0.0147340132159835,0.04,0.005,0,0.015,0,75,"Projection scenario SA: slow-aging"
"SK",0.00057730468286727,0.04,0.005,0,0.015,0,75,"Projection scenario SA: slow-aging"
"MB",-0.0292349888819465,0.04,0.005,0,0.015,0,75,"Projection scenario SA: slow-aging"
"ON",-0.00970874499645832,0.04,0.005,0,0.015,0,75,"Projection scenario SA: slow-aging"
"QC",-0.0574811034729559,0.04,0.005,0,0.015,0,75,"Projection scenario SA: slow-aging"
"NB",-0.0217496565744457,0.04,0.005,0,0.015,0,75,"Projection scenario SA: slow-aging"
"NS",-0.0272861904913301,0.04,0.005,0,0.015,0,75,"Projection scenario SA: slow-aging"
"PE",-0.0295829290989856,0.04,0.005,0,0.015,0,75,"Projection scenario SA: slow-aging"
"NL",0.0313147464428411,0.04,0.005,0,0.015,0,75,"Projection scenario SA: slow-aging"
"PROV",-0.0147496619949986,0.04,0.005,0,0.015,0,75,"Projection scenario SA: slow-aging"
"FED",-0.0484096843461619,0.04,0.005,0,0.015,0,75,"Projection scenario SA: slow-aging"
"BC",0.0177331704890083,0.04,0.0075,0,0.005,0,25,"Projection scenario SA: slow-aging"
"AB",0.0540188028273671,0.04,0.0075,0,0.005,0,25,"Projection scenario SA: slow-aging"
"SK",0.0380384803096925,0.04,0.0075,0,0.005,0,25,"Projection scenario SA: slow-aging"
"MB",0.0255452959672148,0.04,0.0075,0,0.005,0,25,"Projection scenario SA: slow-aging"
"ON",0.0353514085563446,0.04,0.0075,0,0.005,0,25,"Projection scenario SA: slow-aging"
"QC",-0.00218332050232989,0.04,0.0075,0,0.005,0,25,"Projection scenario SA: slow-aging"
"NB",0.0431441087519822,0.04,0.0075,0,0.005,0,25,"Projection scenario SA: slow-aging"
"NS",0.030645435853604,0.04,0.0075,0,0.005,0,25,"Projection scenario SA: slow-aging"
"PE",0.0350600464633564,0.04,0.0075,0,0.005,0,25,"Projection scenario SA: slow-aging"
"NL",0.0886002231482611,0.04,0.0075,0,0.005,0,25,"Projection scenario SA: slow-aging"
"PROV",0.0293603565483422,0.04,0.0075,0,0.005,0,25,"Projection scenario SA: slow-aging"
"FED",-0.00165056558748427,0.04,0.0075,0,0.005,0,25,"Projection scenario SA: slow-aging"
"BC",0.0244377957275035,0.04,0.0075,0,0.005,0,50,"Projection scenario SA: slow-aging"
"AB",0.0593182111738307,0.04,0.0075,0,0.005,0,50,"Projection scenario SA: slow-aging"
"SK",0.0434337108764691,0.04,0.0075,0,0.005,0,50,"Projection scenario SA: slow-aging"
"MB",0.0302672030452008,0.04,0.0075,0,0.005,0,50,"Projection scenario SA: slow-aging"
"ON",0.041577282262838,0.04,0.0075,0,0.005,0,50,"Projection scenario SA: slow-aging"
"QC",0.00393890626446644,0.04,0.0075,0,0.005,0,50,"Projection scenario SA: slow-aging"
"NB",0.0451219501088207,0.04,0.0075,0,0.005,0,50,"Projection scenario SA: slow-aging"
"NS",0.0388105100462725,0.04,0.0075,0,0.005,0,50,"Projection scenario SA: slow-aging"
"PE",0.0451788633599824,0.04,0.0075,0,0.005,0,50,"Projection scenario SA: slow-aging"
"NL",0.0996051478272469,0.04,0.0075,0,0.005,0,50,"Projection scenario SA: slow-aging"
"PROV",0.0359568711203501,0.04,0.0075,0,0.005,0,50,"Projection scenario SA: slow-aging"
"FED",-0.00691441924509585,0.04,0.0075,0,0.005,0,50,"Projection scenario SA: slow-aging"
"BC",0.0286779613933001,0.04,0.0075,0,0.005,0,75,"Projection scenario SA: slow-aging"
"AB",0.0627203447816466,0.04,0.0075,0,0.005,0,75,"Projection scenario SA: slow-aging"
"SK",0.0471351511411336,0.04,0.0075,0,0.005,0,75,"Projection scenario SA: slow-aging"
"MB",0.0331601435274086,0.04,0.0075,0,0.005,0,75,"Projection scenario SA: slow-aging"
"ON",0.0450265611728071,0.04,0.0075,0,0.005,0,75,"Projection scenario SA: slow-aging"
"QC",0.00715239993288021,0.04,0.0075,0,0.005,0,75,"Projection scenario SA: slow-aging"
"NB",0.045257992584109,0.04,0.0075,0,0.005,0,75,"Projection scenario SA: slow-aging"
"NS",0.0427496463829344,0.04,0.0075,0,0.005,0,75,"Projection scenario SA: slow-aging"
"PE",0.0501931441359483,0.04,0.0075,0,0.005,0,75,"Projection scenario SA: slow-aging"
"NL",0.103912342780959,0.04,0.0075,0,0.005,0,75,"Projection scenario SA: slow-aging"
"PROV",0.0398503553316671,0.04,0.0075,0,0.005,0,75,"Projection scenario SA: slow-aging"
"FED",-0.0126411113519127,0.04,0.0075,0,0.005,0,75,"Projection scenario SA: slow-aging"
"BC",0.013551251770428,0.04,0.0075,0,0.0075,0,25,"Projection scenario SA: slow-aging"
"AB",0.0499270874867824,0.04,0.0075,0,0.0075,0,25,"Projection scenario SA: slow-aging"
"SK",0.0337808581763387,0.04,0.0075,0,0.0075,0,25,"Projection scenario SA: slow-aging"
"MB",0.0198130544629429,0.04,0.0075,0,0.0075,0,25,"Projection scenario SA: slow-aging"
"ON",0.0300019751298624,0.04,0.0075,0,0.0075,0,25,"Projection scenario SA: slow-aging"
"QC",-0.00822566923909281,0.04,0.0075,0,0.0075,0,25,"Projection scenario SA: slow-aging"
"NB",0.0366097563371038,0.04,0.0075,0,0.0075,0,25,"Projection scenario SA: slow-aging"
"NS",0.0241464877871522,0.04,0.0075,0,0.0075,0,25,"Projection scenario SA: slow-aging"
"PE",0.0281086973907231,0.04,0.0075,0,0.0075,0,25,"Projection scenario SA: slow-aging"
"NL",0.0812979951753682,0.04,0.0075,0,0.0075,0,25,"Projection scenario SA: slow-aging"
"PROV",0.0242133362036085,0.04,0.0075,0,0.0075,0,25,"Projection scenario SA: slow-aging"
"FED",-0.00599776246246394,0.04,0.0075,0,0.0075,0,25,"Projection scenario SA: slow-aging"
"BC",0.0164998148880782,0.04,0.0075,0,0.0075,0,50,"Projection scenario SA: slow-aging"
"AB",0.0512728999489069,0.04,0.0075,0,0.0075,0,50,"Projection scenario SA: slow-aging"
"SK",0.0354699138508656,0.04,0.0075,0,0.0075,0,50,"Projection scenario SA: slow-aging"
"MB",0.0196543396603785,0.04,0.0075,0,0.0075,0,50,"Projection scenario SA: slow-aging"
"ON",0.032045841064617,0.04,0.0075,0,0.0075,0,50,"Projection scenario SA: slow-aging"
"QC",-0.00706964760303274,0.04,0.0075,0,0.0075,0,50,"Projection scenario SA: slow-aging"
"NB",0.0334758712954546,0.04,0.0075,0,0.0075,0,50,"Projection scenario SA: slow-aging"
"NS",0.0269026418777181,0.04,0.0075,0,0.0075,0,50,"Projection scenario SA: slow-aging"
"PE",0.0318290677806995,0.04,0.0075,0,0.0075,0,50,"Projection scenario SA: slow-aging"
"NL",0.08688779144245,0.04,0.0075,0,0.0075,0,50,"Projection scenario SA: slow-aging"
"PROV",0.026568690220682,0.04,0.0075,0,0.0075,0,50,"Projection scenario SA: slow-aging"
"FED",-0.0142154729381478,0.04,0.0075,0,0.0075,0,50,"Projection scenario SA: slow-aging"
"BC",0.0171658914945778,0.04,0.0075,0,0.0075,0,75,"Projection scenario SA: slow-aging"
"AB",0.0507918226779995,0.04,0.0075,0,0.0075,0,75,"Projection scenario SA: slow-aging"
"SK",0.0356839684059005,0.04,0.0075,0,0.0075,0,75,"Projection scenario SA: slow-aging"
"MB",0.0178528108617339,0.04,0.0075,0,0.0075,0,75,"Projection scenario SA: slow-aging"
"ON",0.031583161527655,0.04,0.0075,0,0.0075,0,75,"Projection scenario SA: slow-aging"
"QC",-0.00856458624468707,0.04,0.0075,0,0.0075,0,75,"Projection scenario SA: slow-aging"
"NB",0.0292186148545056,0.04,0.0075,0,0.0075,0,75,"Projection scenario SA: slow-aging"
"NS",0.0260724125819558,0.04,0.0075,0,0.0075,0,75,"Projection scenario SA: slow-aging"
"PE",0.0308244111314687,0.04,0.0075,0,0.0075,0,75,"Projection scenario SA: slow-aging"
"NL",0.0868749527835323,0.04,0.0075,0,0.0075,0,75,"Projection scenario SA: slow-aging"
"PROV",0.0264740771582205,0.04,0.0075,0,0.0075,0,75,"Projection scenario SA: slow-aging"
"FED",-0.0225299248546598,0.04,0.0075,0,0.0075,0,75,"Projection scenario SA: slow-aging"
"BC",0.00946201776948513,0.04,0.0075,0,0.01,0,25,"Projection scenario SA: slow-aging"
"AB",0.0459348750178227,0.04,0.0075,0,0.01,0,25,"Projection scenario SA: slow-aging"
"SK",0.0296217144831665,0.04,0.0075,0,0.01,0,25,"Projection scenario SA: slow-aging"
"MB",0.0142051717527763,0.04,0.0075,0,0.01,0,25,"Projection scenario SA: slow-aging"
"ON",0.0247611745863146,0.04,0.0075,0,0.01,0,25,"Projection scenario SA: slow-aging"
"QC",-0.0141448683643716,0.04,0.0075,0,0.01,0,25,"Projection scenario SA: slow-aging"
"NB",0.0302077362061858,0.04,0.0075,0,0.01,0,25,"Projection scenario SA: slow-aging"
"NS",0.0177807446441325,0.04,0.0075,0,0.01,0,25,"Projection scenario SA: slow-aging"
"PE",0.0213150349369098,0.04,0.0075,0,0.01,0,25,"Projection scenario SA: slow-aging"
"NL",0.0741277241457506,0.04,0.0075,0,0.01,0,25,"Projection scenario SA: slow-aging"
"PROV",0.0191758792485605,0.04,0.0075,0,0.01,0,25,"Projection scenario SA: slow-aging"
"FED",-0.0102538334152113,0.04,0.0075,0,0.01,0,25,"Projection scenario SA: slow-aging"
"BC",0.00887569737943103,0.04,0.0075,0,0.01,0,50,"Projection scenario SA: slow-aging"
"AB",0.04359332765996,0.04,0.0075,0,0.01,0,50,"Projection scenario SA: slow-aging"
"SK",0.0278393475929025,0.04,0.0075,0,0.01,0,50,"Projection scenario SA: slow-aging"
"MB",0.00946625991225557,0.04,0.0075,0,0.01,0,50,"Projection scenario SA: slow-aging"
"ON",0.0228709003556395,0.04,0.0075,0,0.01,0,50,"Projection scenario SA: slow-aging"
"QC",-0.017678833846467,0.04,0.0075,0,0.01,0,50,"Projection scenario SA: slow-aging"
"NB",0.0222185863814599,0.04,0.0075,0,0.01,0,50,"Projection scenario SA: slow-aging"
"NS",0.0153993183591498,0.04,0.0075,0,0.01,0,50,"Projection scenario SA: slow-aging"
"PE",0.0190111399336586,0.04,0.0075,0,0.01,0,50,"Projection scenario SA: slow-aging"
"NL",0.0745266224474052,0.04,0.0075,0,0.01,0,50,"Projection scenario SA: slow-aging"
"PROV",0.0175470815289138,0.04,0.0075,0,0.01,0,50,"Projection scenario SA: slow-aging"
"FED",-0.0212075718868903,0.04,0.0075,0,0.01,0,50,"Projection scenario SA: slow-aging"
"BC",0.00628467279159249,0.04,0.0075,0,0.01,0,75,"Projection scenario SA: slow-aging"
"AB",0.039649618722199,0.04,0.0075,0,0.01,0,75,"Projection scenario SA: slow-aging"
"SK",0.0248992645868902,0.04,0.0075,0,0.01,0,75,"Projection scenario SA: slow-aging"
"MB",0.00341521589980664,0.04,0.0075,0,0.01,0,75,"Projection scenario SA: slow-aging"
"ON",0.0188448766327243,0.04,0.0075,0,0.01,0,75,"Projection scenario SA: slow-aging"
"QC",-0.0234955964278815,0.04,0.0075,0,0.01,0,75,"Projection scenario SA: slow-aging"
"NB",0.0138616311902269,0.04,0.0075,0,0.01,0,75,"Projection scenario SA: slow-aging"
"NS",0.0101185737118983,0.04,0.0075,0,0.01,0,75,"Projection scenario SA: slow-aging"
"PE",0.0125112922431625,0.04,0.0075,0,0.01,0,75,"Projection scenario SA: slow-aging"
"NL",0.0703989636080428,0.04,0.0075,0,0.01,0,75,"Projection scenario SA: slow-aging"
"PROV",0.013835169323934,0.04,0.0075,0,0.01,0,75,"Projection scenario SA: slow-aging"
"FED",-0.0317758580507546,0.04,0.0075,0,0.01,0,75,"Projection scenario SA: slow-aging"
"BC",0.00546463737522101,0.04,0.0075,0,0.0125,0,25,"Projection scenario SA: slow-aging"
"AB",0.0420410257696894,0.04,0.0075,0,0.0125,0,25,"Projection scenario SA: slow-aging"
"SK",0.0255600025847566,0.04,0.0075,0,0.0125,0,25,"Projection scenario SA: slow-aging"
"MB",0.00872045920598674,0.04,0.0075,0,0.0125,0,25,"Projection scenario SA: slow-aging"
"ON",0.0196280217957994,0.04,0.0075,0,0.0125,0,25,"Projection scenario SA: slow-aging"
"QC",-0.0199418703065268,0.04,0.0075,0,0.0125,0,25,"Projection scenario SA: slow-aging"
"NB",0.0239371830727555,0.04,0.0075,0,0.0125,0,25,"Projection scenario SA: slow-aging"
"NS",0.0115473190943982,0.04,0.0075,0,0.0125,0,25,"Projection scenario SA: slow-aging"
"PE",0.0146775279320734,0.04,0.0075,0,0.0125,0,25,"Projection scenario SA: slow-aging"
"NL",0.0670888001505798,0.04,0.0075,0,0.0125,0,25,"Projection scenario SA: slow-aging"
"PROV",0.0142469779999323,0.04,0.0075,0,0.0125,0,25,"Projection scenario SA: slow-aging"
"FED",-0.0144198125653411,0.04,0.0075,0,0.0125,0,25,"Projection scenario SA: slow-aging"
"BC",0.00156361298048869,0.04,0.0075,0,0.0125,0,50,"Projection scenario SA: slow-aging"
"AB",0.0362739209533999,0.04,0.0075,0,0.0125,0,50,"Projection scenario SA: slow-aging"
"SK",0.0205384397716445,0.04,0.0075,0,0.0125,0,50,"Projection scenario SA: slow-aging"
"MB",-0.00030059327686329,0.04,0.0075,0,0.0125,0,50,"Projection scenario SA: slow-aging"
"ON",0.014050312407122,0.04,0.0075,0,0.0125,0,50,"Projection scenario SA: slow-aging"
"QC",-0.0278893553940138,0.04,0.0075,0,0.0125,0,50,"Projection scenario SA: slow-aging"
"NB",0.0113518195356149,0.04,0.0075,0,0.0125,0,50,"Projection scenario SA: slow-aging"
"NS",0.00430201114709091,0.04,0.0075,0,0.0125,0,50,"Projection scenario SA: slow-aging"
"PE",0.00672153464046178,0.04,0.0075,0,0.0125,0,50,"Projection scenario SA: slow-aging"
"NL",0.0625261794374252,0.04,0.0075,0,0.0125,0,50,"Projection scenario SA: slow-aging"
"PROV",0.00888951685871512,0.04,0.0075,0,0.0125,0,50,"Projection scenario SA: slow-aging"
"FED",-0.0278960038464012,0.04,0.0075,0,0.0125,0,50,"Projection scenario SA: slow-aging"
"BC",-0.00396546906345527,0.04,0.0075,0,0.0125,0,75,"Projection scenario SA: slow-aging"
"AB",0.029278442306923,0.04,0.0075,0,0.0125,0,75,"Projection scenario SA: slow-aging"
"SK",0.0147759570757949,0.04,0.0075,0,0.0125,0,75,"Projection scenario SA: slow-aging"
"MB",-0.0101573814595202,0.04,0.0075,0,0.0125,0,75,"Projection scenario SA: slow-aging"
"ON",0.00681195560847326,0.04,0.0075,0,0.0125,0,75,"Projection scenario SA: slow-aging"
"QC",-0.0376342077105697,0.04,0.0075,0,0.0125,0,75,"Projection scenario SA: slow-aging"
"NB",-0.00079689453912178,0.04,0.0075,0,0.0125,0,75,"Projection scenario SA: slow-aging"
"NS",-0.0050960398740323,0.04,0.0075,0,0.0125,0,75,"Projection scenario SA: slow-aging"
"PE",-0.00474593902353195,0.04,0.0075,0,0.0125,0,75,"Projection scenario SA: slow-aging"
"NL",0.0545078409258019,0.04,0.0075,0,0.0125,0,75,"Projection scenario SA: slow-aging"
"PROV",0.00193202432996285,0.04,0.0075,0,0.0125,0,75,"Projection scenario SA: slow-aging"
"FED",-0.0403957126514474,0.04,0.0075,0,0.0125,0,75,"Projection scenario SA: slow-aging"
"BC",0.00155823319869634,0.04,0.0075,0,0.015,0,25,"Projection scenario SA: slow-aging"
"AB",0.0382443544845349,0.04,0.0075,0,0.015,0,25,"Projection scenario SA: slow-aging"
"SK",0.0215946294438021,0.04,0.0075,0,0.015,0,25,"Projection scenario SA: slow-aging"
"MB",0.00335766757621772,0.04,0.0075,0,0.015,0,25,"Projection scenario SA: slow-aging"
"ON",0.0146014796826174,0.04,0.0075,0,0.015,0,25,"Projection scenario SA: slow-aging"
"QC",-0.0256176904785376,0.04,0.0075,0,0.015,0,25,"Projection scenario SA: slow-aging"
"NB",0.0177971627250793,0.04,0.0075,0,0.015,0,25,"Projection scenario SA: slow-aging"
"NS",0.00544525420909412,0.04,0.0075,0,0.015,0,25,"Projection scenario SA: slow-aging"
"PE",0.00819456879720772,0.04,0.0075,0,0.015,0,25,"Projection scenario SA: slow-aging"
"NL",0.0601805469277008,0.04,0.0075,0,0.015,0,25,"Projection scenario SA: slow-aging"
"PROV",0.00942557127549346,0.04,0.0075,0,0.015,0,25,"Projection scenario SA: slow-aging"
"FED",-0.0184967739028059,0.04,0.0075,0,0.015,0,25,"Projection scenario SA: slow-aging"
"BC",-0.00543909183197293,0.04,0.0075,0,0.015,0,50,"Projection scenario SA: slow-aging"
"AB",0.0293082365917153,0.04,0.0075,0,0.015,0,50,"Projection scenario SA: slow-aging"
"SK",0.0135628033539861,0.04,0.0075,0,0.015,0,50,"Projection scenario SA: slow-aging"
"MB",-0.00965087737852628,0.04,0.0075,0,0.015,0,50,"Projection scenario SA: slow-aging"
"ON",0.00558100955986573,0.04,0.0075,0,0.015,0,50,"Projection scenario SA: slow-aging"
"QC",-0.0377029877674638,0.04,0.0075,0,0.015,0,50,"Projection scenario SA: slow-aging"
"NB",0.000876294475179596,0.04,0.0075,0,0.015,0,50,"Projection scenario SA: slow-aging"
"NS",-0.00638885363140977,0.04,0.0075,0,0.015,0,50,"Projection scenario SA: slow-aging"
"PE",-0.00504464655908652,0.04,0.0075,0,0.015,0,50,"Projection scenario SA: slow-aging"
"NL",0.0508901875595947,0.04,0.0075,0,0.015,0,50,"Projection scenario SA: slow-aging"
"PROV",0.000592513919052703,0.04,0.0075,0,0.015,0,50,"Projection scenario SA: slow-aging"
"FED",-0.0342867721174499,0.04,0.0075,0,0.015,0,50,"Projection scenario SA: slow-aging"
"BC",-0.0135882576986744,0.04,0.0075,0,0.015,0,75,"Projection scenario SA: slow-aging"
"AB",0.019658630334381,0.04,0.0075,0,0.015,0,75,"Projection scenario SA: slow-aging"
"SK",0.00530507114815057,0.04,0.0075,0,0.015,0,75,"Projection scenario SA: slow-aging"
"MB",-0.0228751029321148,0.04,0.0075,0,0.015,0,75,"Projection scenario SA: slow-aging"
"ON",-0.00451971689910844,0.04,0.0075,0,0.015,0,75,"Projection scenario SA: slow-aging"
"QC",-0.0509790432350564,0.04,0.0075,0,0.015,0,75,"Projection scenario SA: slow-aging"
"NB",-0.0147447616137649,0.04,0.0075,0,0.015,0,75,"Projection scenario SA: slow-aging"
"NS",-0.0195597175080317,0.04,0.0075,0,0.015,0,75,"Projection scenario SA: slow-aging"
"PE",-0.0209534395290103,0.04,0.0075,0,0.015,0,75,"Projection scenario SA: slow-aging"
"NL",0.0392227817641946,0.04,0.0075,0,0.015,0,75,"Projection scenario SA: slow-aging"
"PROV",-0.00924157574971121,0.04,0.0075,0,0.015,0,75,"Projection scenario SA: slow-aging"
"FED",-0.0484096843461619,0.04,0.0075,0,0.015,0,75,"Projection scenario SA: slow-aging"
"BC",0.0204921863987167,0.04,0.01,0,0.005,0,25,"Projection scenario SA: slow-aging"
"AB",0.0564225252084864,0.04,0.01,0,0.005,0,25,"Projection scenario SA: slow-aging"
"SK",0.040478800836434,0.04,0.01,0,0.005,0,25,"Projection scenario SA: slow-aging"
"MB",0.028741768335432,0.04,0.01,0,0.005,0,25,"Projection scenario SA: slow-aging"
"ON",0.0379652792424845,0.04,0.01,0,0.005,0,25,"Projection scenario SA: slow-aging"
"QC",0.00107741002962787,0.04,0.01,0,0.005,0,25,"Projection scenario SA: slow-aging"
"NB",0.0467565401396452,0.04,0.01,0,0.005,0,25,"Projection scenario SA: slow-aging"
"NS",0.0346291993642286,0.04,0.01,0,0.005,0,25,"Projection scenario SA: slow-aging"
"PE",0.0393155998786616,0.04,0.01,0,0.005,0,25,"Projection scenario SA: slow-aging"
"NL",0.0926675407372313,0.04,0.01,0,0.005,0,25,"Projection scenario SA: slow-aging"
"PROV",0.0321505344145761,0.04,0.01,0,0.005,0,25,"Projection scenario SA: slow-aging"
"FED",-0.00165056558748427,0.04,0.01,0,0.005,0,25,"Projection scenario SA: slow-aging"
"BC",0.0301844984323714,0.04,0.01,0,0.005,0,50,"Projection scenario SA: slow-aging"
"AB",0.0645236181128093,0.04,0.01,0,0.005,0,50,"Projection scenario SA: slow-aging"
"SK",0.0484561103156229,0.04,0.01,0,0.005,0,50,"Projection scenario SA: slow-aging"
"MB",0.0369546442867587,0.04,0.01,0,0.005,0,50,"Projection scenario SA: slow-aging"
"ON",0.0470154711338923,0.04,0.01,0,0.005,0,50,"Projection scenario SA: slow-aging"
"QC",0.0106921626491069,0.04,0.01,0,0.005,0,50,"Projection scenario SA: slow-aging"
"NB",0.0524143597146019,0.04,0.01,0,0.005,0,50,"Projection scenario SA: slow-aging"
"NS",0.0468678622321039,0.04,0.01,0,0.005,0,50,"Projection scenario SA: slow-aging"
"PE",0.0542045456012535,0.04,0.01,0,0.005,0,50,"Projection scenario SA: slow-aging"
"NL",0.107800530529222,0.04,0.01,0,0.005,0,50,"Projection scenario SA: slow-aging"
"PROV",0.041756288012595,0.04,0.01,0,0.005,0,50,"Projection scenario SA: slow-aging"
"FED",-0.00691441924509585,0.04,0.01,0,0.005,0,50,"Projection scenario SA: slow-aging"
"BC",0.0375471195431794,0.04,0.01,0,0.005,0,75,"Projection scenario SA: slow-aging"
"AB",0.0709895682227725,0.04,0.01,0,0.005,0,75,"Projection scenario SA: slow-aging"
"SK",0.0548503401018096,0.04,0.01,0,0.005,0,75,"Projection scenario SA: slow-aging"
"MB",0.04356764985419,0.04,0.01,0,0.005,0,75,"Projection scenario SA: slow-aging"
"ON",0.0534076499987591,0.04,0.01,0,0.005,0,75,"Projection scenario SA: slow-aging"
"QC",0.0175527720787658,0.04,0.01,0,0.005,0,75,"Projection scenario SA: slow-aging"
"NB",0.0560937159912036,0.04,0.01,0,0.005,0,75,"Projection scenario SA: slow-aging"
"NS",0.0547219012111288,0.04,0.01,0,0.005,0,75,"Projection scenario SA: slow-aging"
"PE",0.0641276816542749,0.04,0.01,0,0.005,0,75,"Projection scenario SA: slow-aging"
"NL",0.115699621523526,0.04,0.01,0,0.005,0,75,"Projection scenario SA: slow-aging"
"PROV",0.0487939975141734,0.04,0.01,0,0.005,0,75,"Projection scenario SA: slow-aging"
"FED",-0.0126411113519127,0.04,0.01,0,0.005,0,75,"Projection scenario SA: slow-aging"
"BC",0.0162251074610411,0.04,0.01,0,0.0075,0,25,"Projection scenario SA: slow-aging"
"AB",0.0522537878938038,0.04,0.01,0,0.0075,0,25,"Projection scenario SA: slow-aging"
"SK",0.0361440019952807,0.04,0.01,0,0.0075,0,25,"Projection scenario SA: slow-aging"
"MB",0.0229098861257115,0.04,0.01,0,0.0075,0,25,"Projection scenario SA: slow-aging"
"ON",0.0325350358376433,0.04,0.01,0,0.0075,0,25,"Projection scenario SA: slow-aging"
"QC",-0.00506391963084903,0.04,0.01,0,0.0075,0,25,"Projection scenario SA: slow-aging"
"NB",0.0401148638716881,0.04,0.01,0,0.0075,0,25,"Projection scenario SA: slow-aging"
"NS",0.0280115884863193,0.04,0.01,0,0.0075,0,25,"Projection scenario SA: slow-aging"
"PE",0.0322318357699743,0.04,0.01,0,0.0075,0,25,"Projection scenario SA: slow-aging"
"NL",0.0852488421045076,0.04,0.01,0,0.0075,0,25,"Projection scenario SA: slow-aging"
"PROV",0.0269170905283572,0.04,0.01,0,0.0075,0,25,"Projection scenario SA: slow-aging"
"FED",-0.00599776246246394,0.04,0.01,0,0.0075,0,25,"Projection scenario SA: slow-aging"
"BC",0.0219131897083498,0.04,0.01,0,0.0075,0,50,"Projection scenario SA: slow-aging"
"AB",0.0561559306766631,0.04,0.01,0,0.0075,0,50,"Projection scenario SA: slow-aging"
"SK",0.040193152114191,0.04,0.01,0,0.0075,0,50,"Projection scenario SA: slow-aging"
"MB",0.0259456848600093,0.04,0.01,0,0.0075,0,50,"Projection scenario SA: slow-aging"
"ON",0.0371686119188919,0.04,0.01,0,0.0075,0,50,"Projection scenario SA: slow-aging"
"QC",-0.000698770405195194,0.04,0.01,0,0.0075,0,50,"Projection scenario SA: slow-aging"
"NB",0.0403764024410736,0.04,0.01,0,0.0075,0,50,"Projection scenario SA: slow-aging"
"NS",0.0345249848076484,0.04,0.01,0,0.0075,0,50,"Projection scenario SA: slow-aging"
"PE",0.0403300264559948,0.04,0.01,0,0.0075,0,50,"Projection scenario SA: slow-aging"
"NL",0.0946724823554263,0.04,0.01,0,0.0075,0,50,"Projection scenario SA: slow-aging"
"PROV",0.0320293570333269,0.04,0.01,0,0.0075,0,50,"Projection scenario SA: slow-aging"
"FED",-0.0142154729381478,0.04,0.01,0,0.0075,0,50,"Projection scenario SA: slow-aging"
"BC",0.0253010498124855,0.04,0.01,0,0.0075,0,75,"Projection scenario SA: slow-aging"
"AB",0.0583137945577824,0.04,0.01,0,0.0075,0,75,"Projection scenario SA: slow-aging"
"SK",0.0427442189531862,0.04,0.01,0,0.0075,0,75,"Projection scenario SA: slow-aging"
"MB",0.0273732059152633,0.04,0.01,0,0.0075,0,75,"Projection scenario SA: slow-aging"
"ON",0.0392715942433796,0.04,0.01,0,0.0075,0,75,"Projection scenario SA: slow-aging"
"QC",0.000997546752041957,0.04,0.01,0,0.0075,0,75,"Projection scenario SA: slow-aging"
"NB",0.0392507268436072,0.04,0.01,0,0.0075,0,75,"Projection scenario SA: slow-aging"
"NS",0.0371524701684666,0.04,0.01,0,0.0075,0,75,"Projection scenario SA: slow-aging"
"PE",0.0436082191209594,0.04,0.01,0,0.0075,0,75,"Projection scenario SA: slow-aging"
"NL",0.0978734001162029,0.04,0.01,0,0.0075,0,75,"Projection scenario SA: slow-aging"
"PROV",0.0346690447165983,0.04,0.01,0,0.0075,0,75,"Projection scenario SA: slow-aging"
"FED",-0.0225299248546598,0.04,0.01,0,0.0075,0,75,"Projection scenario SA: slow-aging"
"BC",0.0120527113511586,0.04,0.01,0,0.01,0,25,"Projection scenario SA: slow-aging"
"AB",0.0481864822767676,0.04,0.01,0,0.01,0,25,"Projection scenario SA: slow-aging"
"SK",0.0319095721336676,0.04,0.01,0,0.01,0,25,"Projection scenario SA: slow-aging"
"MB",0.0172047393721493,0.04,0.01,0,0.01,0,25,"Projection scenario SA: slow-aging"
"ON",0.0272153280964681,0.04,0.01,0,0.01,0,25,"Projection scenario SA: slow-aging"
"QC",-0.0110798471625975,0.04,0.01,0,0.01,0,25,"Projection scenario SA: slow-aging"
"NB",0.0336078760572936,0.04,0.01,0,0.01,0,25,"Projection scenario SA: slow-aging"
"NS",0.0215297984775027,0.04,0.01,0,0.01,0,25,"Projection scenario SA: slow-aging"
"PE",0.0253089149268233,0.04,0.01,0,0.01,0,25,"Projection scenario SA: slow-aging"
"NL",0.0779645017678265,0.04,0.01,0,0.01,0,25,"Projection scenario SA: slow-aging"
"PROV",0.0217952500703939,0.04,0.01,0,0.01,0,25,"Projection scenario SA: slow-aging"
"FED",-0.0102538334152113,0.04,0.01,0,0.01,0,25,"Projection scenario SA: slow-aging"
"BC",0.0139693302793458,0.04,0.01,0,0.01,0,50,"Projection scenario SA: slow-aging"
"AB",0.0481688551326646,0.04,0.01,0,0.01,0,50,"Projection scenario SA: slow-aging"
