"short","same_netdebt","r","health_inflation","cht_increment","labour_prod","oldshare","years","pop_scenario"
"ON",0.0278618387697203,0.03,0.0025,0,0.005,0,25,"Projection scenario M2: medium-growth"
"QC",-0.00998207987029273,0.03,0.0025,0,0.005,0,25,"Projection scenario M2: medium-growth"
"NB",0.033870055350416,0.03,0.0025,0,0.005,0,25,"Projection scenario M2: medium-growth"
"NS",0.0218131685164222,0.03,0.0025,0,0.005,0,25,"Projection scenario M2: medium-growth"
"PE",0.0289381405212092,0.03,0.0025,0,0.005,0,25,"Projection scenario M2: medium-growth"
"NL",0.0820253994375147,0.03,0.0025,0,0.005,0,25,"Projection scenario M2: medium-growth"
"PROV",0.0225789748492077,0.03,0.0025,0,0.005,0,25,"Projection scenario M2: medium-growth"
"FED",-0.00333148429013808,0.03,0.0025,0,0.005,0,25,"Projection scenario M2: medium-growth"
"BC",0.0192760063129277,0.03,0.0025,0,0.005,0,50,"Projection scenario M2: medium-growth"
"AB",0.0509025046481465,0.03,0.0025,0,0.005,0,50,"Projection scenario M2: medium-growth"
"SK",0.0353362254459044,0.03,0.0025,0,0.005,0,50,"Projection scenario M2: medium-growth"
"MB",0.0191650660102167,0.03,0.0025,0,0.005,0,50,"Projection scenario M2: medium-growth"
"ON",0.0319110380501026,0.03,0.0025,0,0.005,0,50,"Projection scenario M2: medium-growth"
"QC",-0.00564114093641502,0.03,0.0025,0,0.005,0,50,"Projection scenario M2: medium-growth"
"NB",0.0341079412072041,0.03,0.0025,0,0.005,0,50,"Projection scenario M2: medium-growth"
"NS",0.0270256745094197,0.03,0.0025,0,0.005,0,50,"Projection scenario M2: medium-growth"
"PE",0.0376851640559729,0.03,0.0025,0,0.005,0,50,"Projection scenario M2: medium-growth"
"NL",0.0912328977384281,0.03,0.0025,0,0.005,0,50,"Projection scenario M2: medium-growth"
"PROV",0.02715790316874,0.03,0.0025,0,0.005,0,50,"Projection scenario M2: medium-growth"
"FED",-0.00704328900037502,0.03,0.0025,0,0.005,0,50,"Projection scenario M2: medium-growth"
"BC",0.0203344731323907,0.03,0.0025,0,0.005,0,75,"Projection scenario M2: medium-growth"
"AB",0.0506369669902713,0.03,0.0025,0,0.005,0,75,"Projection scenario M2: medium-growth"
"SK",0.0358534209744741,0.03,0.0025,0,0.005,0,75,"Projection scenario M2: medium-growth"
"MB",0.0182830115801246,0.03,0.0025,0,0.005,0,75,"Projection scenario M2: medium-growth"
"ON",0.0318774798910958,0.03,0.0025,0,0.005,0,75,"Projection scenario M2: medium-growth"
"QC",-0.00645105875653619,0.03,0.0025,0,0.005,0,75,"Projection scenario M2: medium-growth"
"NB",0.0299406500358521,0.03,0.0025,0,0.005,0,75,"Projection scenario M2: medium-growth"
"NS",0.0263416182071179,0.03,0.0025,0,0.005,0,75,"Projection scenario M2: medium-growth"
"PE",0.03779440078599,0.03,0.0025,0,0.005,0,75,"Projection scenario M2: medium-growth"
"NL",0.0916323715770368,0.03,0.0025,0,0.005,0,75,"Projection scenario M2: medium-growth"
"PROV",0.0275226423340515,0.03,0.0025,0,0.005,0,75,"Projection scenario M2: medium-growth"
"FED",-0.0130495830277546,0.03,0.0025,0,0.005,0,75,"Projection scenario M2: medium-growth"
"BC",0.0097824472164222,0.03,0.0025,0,0.0075,0,25,"Projection scenario M2: medium-growth"
"AB",0.0441611030567414,0.03,0.0025,0,0.0075,0,25,"Projection scenario M2: medium-growth"
"SK",0.0281557471193319,0.03,0.0025,0,0.0075,0,25,"Projection scenario M2: medium-growth"
"MB",0.0102586708646344,0.03,0.0025,0,0.0075,0,25,"Projection scenario M2: medium-growth"
"ON",0.0224829920423775,0.03,0.0025,0,0.0075,0,25,"Projection scenario M2: medium-growth"
"QC",-0.0160811522880199,0.03,0.0025,0,0.0075,0,25,"Projection scenario M2: medium-growth"
"NB",0.0272875474505345,0.03,0.0025,0,0.0075,0,25,"Projection scenario M2: medium-growth"
"NS",0.0152510132024246,0.03,0.0025,0,0.0075,0,25,"Projection scenario M2: medium-growth"
"PE",0.0218528405294402,0.03,0.0025,0,0.0075,0,25,"Projection scenario M2: medium-growth"
"NL",0.074535841109497,0.03,0.0025,0,0.0075,0,25,"Projection scenario M2: medium-growth"
"PROV",0.0174060359629935,0.03,0.0025,0,0.0075,0,25,"Projection scenario M2: medium-growth"
"FED",-0.00784141963300897,0.03,0.0025,0,0.0075,0,25,"Projection scenario M2: medium-growth"
"BC",0.0110197368789874,0.03,0.0025,0,0.0075,0,50,"Projection scenario M2: medium-growth"
"AB",0.0428205069203369,0.03,0.0025,0,0.0075,0,50,"Projection scenario M2: medium-growth"
"SK",0.0272597425201814,0.03,0.0025,0,0.0075,0,50,"Projection scenario M2: medium-growth"
"MB",0.00841787259483194,0.03,0.0025,0,0.0075,0,50,"Projection scenario M2: medium-growth"
"ON",0.0221299292699873,0.03,0.0025,0,0.0075,0,50,"Projection scenario M2: medium-growth"
"QC",-0.017072295297254,0.03,0.0025,0,0.0075,0,50,"Projection scenario M2: medium-growth"
"NB",0.0219727607288874,0.03,0.0025,0,0.0075,0,50,"Projection scenario M2: medium-growth"
"NS",0.0146480451783295,0.03,0.0025,0,0.0075,0,50,"Projection scenario M2: medium-growth"
"PE",0.0235974295718115,0.03,0.0025,0,0.0075,0,50,"Projection scenario M2: medium-growth"
"NL",0.0776457052356789,0.03,0.0025,0,0.0075,0,50,"Projection scenario M2: medium-growth"
"PROV",0.0175251359882364,0.03,0.0025,0,0.0075,0,50,"Projection scenario M2: medium-growth"
"FED",-0.0149694902377794,0.03,0.0025,0,0.0075,0,50,"Projection scenario M2: medium-growth"
"BC",0.00816299464409284,0.03,0.0025,0,0.0075,0,75,"Projection scenario M2: medium-growth"
"AB",0.038613986824993,0.03,0.0025,0,0.0075,0,75,"Projection scenario M2: medium-growth"
"SK",0.0241010212336029,0.03,0.0025,0,0.0075,0,75,"Projection scenario M2: medium-growth"
"MB",0.00257743260872379,0.03,0.0025,0,0.0075,0,75,"Projection scenario M2: medium-growth"
"ON",0.0178529267299221,0.03,0.0025,0,0.0075,0,75,"Projection scenario M2: medium-growth"
"QC",-0.0231279842213618,0.03,0.0025,0,0.0075,0,75,"Projection scenario M2: medium-growth"
"NB",0.0127661900998161,0.03,0.0025,0,0.0075,0,75,"Projection scenario M2: medium-growth"
